Field,ID,Type (类型),default,en-us,zh-cn
TrailerThumbnail13,1052,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail14,1053,相对路径(或指向开发人员中心文件的 URL),,,
TrailerThumbnail15,1054,相对路径(或指向开发人员中心文件的 URL),,,
OverrideLogosForWin10,603,True/False,FALSE,,FALSE
StoreLogoOverride150x150,604,相对路径(或指向开发人员中心文件的 URL),,,
StoreLogoOverride71x71,605,相对路径(或指向开发人员中心文件的 URL),,,
OptionalPromo358x358,611,相对路径(或指向开发人员中心文件的 URL),,,
OptionalPromo1000x800,612,相对路径(或指向开发人员中心文件的 URL),,,
OptionalPromo414x180,613,相对路径(或指向开发人员中心文件的 URL),,,
Feature1,700,文本,Share files over LAN,,局域网间分享文件
Feature2,701,文本,No internet connection required,,不需要互联网或移动数据连接
Feature3,702,文本,Download files in a zip,,分享文件打包下载
Feature4,703,文本,Fluent Design,,使用Fluent设计理念
Feature5,704,文本,,,
Feature6,705,文本,,,
Feature7,706,文本,,,
Feature8,707,文本,,,
Feature9,708,文本,,,
Feature10,709,文本,,,
Feature11,710,文本,,,
Feature12,711,文本,,,
Feature13,712,文本,,,
Feature14,713,文本,,,
Feature15,714,文本,,,
Feature16,715,文本,,,
Feature17,716,文本,,,
Feature18,717,文本,,,
Feature19,718,文本,,,
Feature20,719,文本,,,
MinimumHardwareReq1,800,文本,,,
MinimumHardwareReq2,801,文本,,,
MinimumHardwareReq3,802,文本,,,
MinimumHardwareReq4,803,文本,,,
MinimumHardwareReq5,804,文本,,,
MinimumHardwareReq6,805,文本,,,
MinimumHardwareReq7,806,文本,,,
MinimumHardwareReq8,807,文本,,,
MinimumHardwareReq9,808,文本,,,
MinimumHardwareReq10,809,文本,,,
MinimumHardwareReq11,810,文本,,,
RecommendedHardwareReq1,850,文本,,,
RecommendedHardwareReq2,851,文本,,,
RecommendedHardwareReq3,852,文本,,,
RecommendedHardwareReq4,853,文本,,,
RecommendedHardwareReq5,854,文本,,,
RecommendedHardwareReq6,855,文本,,,
RecommendedHardwareReq7,856,文本,,,
RecommendedHardwareReq8,857,文本,,,
RecommendedHardwareReq9,858,文本,,,
RecommendedHardwareReq10,859,文本,,,
RecommendedHardwareReq11,860,文本,,,
